start_x,start_y,goal_x,goal_y,path_length
2.4466,-2.5257,2.4295,-2.3264,0.2
2.4466,-2.5257,2.4823,-2.1335,0.4
2.4466,-2.5257,2.3874,-1.9575,0.6
2.4466,-2.5257,2.2924,-1.7814,0.8
2.4466,-2.5257,2.2913,-1.7794,0.8024
2.4466,-2.5257,2.2913,-1.7794,0.8024
2.4295,-2.3264,2.4823,-2.1335,0.2
2.4295,-2.3264,2.3874,-1.9575,0.4
2.4295,-2.3264,2.2924,-1.7814,0.6
2.4295,-2.3264,2.2913,-1.7794,0.6024
2.4295,-2.3264,2.2913,-1.7794,0.6024
2.4823,-2.1335,2.3874,-1.9575,0.2
2.4823,-2.1335,2.2924,-1.7814,0.4
2.4823,-2.1335,2.2913,-1.7794,0.4024
2.4823,-2.1335,2.2913,-1.7794,0.4024
2.3874,-1.9575,2.2924,-1.7814,0.2
2.3874,-1.9575,2.2913,-1.7794,0.2024
2.3874,-1.9575,2.2913,-1.7794,0.2024
2.2924,-1.7814,2.2913,-1.7794,0.0024
2.2924,-1.7814,2.2913,-1.7794,0.0024
2.2913,-1.7794,2.2913,-1.7794,0.0
-2.3847,1.5357,-2.3804,1.3358,0.2
-2.3847,1.5357,-2.4136,1.1385,0.4
-2.3847,1.5357,-2.2476,1.0271,0.6
-2.3847,1.5357,-2.2879,0.8312,0.8
-2.3847,1.5357,-2.11,0.7399,1.0
-2.3847,1.5357,-1.9178,0.6848,1.2
-2.3847,1.5357,-1.9244,0.4849,1.4
-2.3847,1.5357,-1.902,0.2861,1.6
-2.3847,1.5357,-1.9894,0.1062,1.8
-2.3847,1.5357,-1.8258,-0.0088,2.0
-2.3847,1.5357,-1.8522,-0.207,2.2
-2.3847,1.5357,-1.9491,-0.267,2.314
-2.3847,1.5357,-1.9491,-0.267,2.314
-2.3804,1.3358,-2.4136,1.1385,0.2
-2.3804,1.3358,-2.2476,1.0271,0.4
-2.3804,1.3358,-2.2879,0.8312,0.6
-2.3804,1.3358,-2.11,0.7399,0.8
-2.3804,1.3358,-1.9178,0.6848,1.0
-2.3804,1.3358,-1.9244,0.4849,1.2
-2.3804,1.3358,-1.902,0.2861,1.4
-2.3804,1.3358,-1.9894,0.1062,1.6
-2.3804,1.3358,-1.8258,-0.0088,1.8
-2.3804,1.3358,-1.8522,-0.207,2.0
-2.3804,1.3358,-1.9491,-0.267,2.114
-2.3804,1.3358,-1.9491,-0.267,2.114
-2.4136,1.1385,-2.2476,1.0271,0.2
-2.4136,1.1385,-2.2879,0.8312,0.4
-2.4136,1.1385,-2.11,0.7399,0.6
-2.4136,1.1385,-1.9178,0.6848,0.8
-2.4136,1.1385,-1.9244,0.4849,1.0
-2.4136,1.1385,-1.902,0.2861,1.2
-2.4136,1.1385,-1.9894,0.1062,1.4
-2.4136,1.1385,-1.8258,-0.0088,1.6
-2.4136,1.1385,-1.8522,-0.207,1.8
-2.4136,1.1385,-1.9491,-0.267,1.914
-2.4136,1.1385,-1.9491,-0.267,1.914
-2.2476,1.0271,-2.2879,0.8312,0.2
-2.2476,1.0271,-2.11,0.7399,0.4
-2.2476,1.0271,-1.9178,0.6848,0.6
-2.2476,1.0271,-1.9244,0.4849,0.8
-2.2476,1.0271,-1.902,0.2861,1.0
-2.2476,1.0271,-1.9894,0.1062,1.2
-2.2476,1.0271,-1.8258,-0.0088,1.4
-2.2476,1.0271,-1.8522,-0.207,1.6
-2.2476,1.0271,-1.9491,-0.267,1.714
-2.2476,1.0271,-1.9491,-0.267,1.714
-2.2879,0.8312,-2.11,0.7399,0.2
-2.2879,0.8312,-1.9178,0.6848,0.4
-2.2879,0.8312,-1.9244,0.4849,0.6
-2.2879,0.8312,-1.902,0.2861,0.8
-2.2879,0.8312,-1.9894,0.1062,1.0
-2.2879,0.8312,-1.8258,-0.0088,1.2
-2.2879,0.8312,-1.8522,-0.207,1.4
-2.2879,0.8312,-1.9491,-0.267,1.514
-2.2879,0.8312,-1.9491,-0.267,1.514
-2.11,0.7399,-1.9178,0.6848,0.2
-2.11,0.7399,-1.9244,0.4849,0.4
-2.11,0.7399,-1.902,0.2861,0.6
-2.11,0.7399,-1.9894,0.1062,0.8
-2.11,0.7399,-1.8258,-0.0088,1.0
-2.11,0.7399,-1.8522,-0.207,1.2
-2.11,0.7399,-1.9491,-0.267,1.314
-2.11,0.7399,-1.9491,-0.267,1.314
-1.9178,0.6848,-1.9244,0.4849,0.2
-1.9178,0.6848,-1.902,0.2861,0.4
-1.9178,0.6848,-1.9894,0.1062,0.6
-1.9178,0.6848,-1.8258,-0.0088,0.8
-1.9178,0.6848,-1.8522,-0.207,1.0
-1.9178,0.6848,-1.9491,-0.267,1.114
-1.9178,0.6848,-1.9491,-0.267,1.114
-1.9244,0.4849,-1.902,0.2861,0.2
-1.9244,0.4849,-1.9894,0.1062,0.4
-1.9244,0.4849,-1.8258,-0.0088,0.6
-1.9244,0.4849,-1.8522,-0.207,0.8
-1.9244,0.4849,-1.9491,-0.267,0.914
-1.9244,0.4849,-1.9491,-0.267,0.914
-1.902,0.2861,-1.9894,0.1062,0.2
-1.902,0.2861,-1.8258,-0.0088,0.4
-1.902,0.2861,-1.8522,-0.207,0.6
-1.902,0.2861,-1.9491,-0.267,0.714
-1.902,0.2861,-1.9491,-0.267,0.714
-1.9894,0.1062,-1.8258,-0.0088,0.2
-1.9894,0.1062,-1.8522,-0.207,0.4
-1.9894,0.1062,-1.9491,-0.267,0.514
-1.9894,0.1062,-1.9491,-0.267,0.514
-1.8258,-0.0088,-1.8522,-0.207,0.2
-1.8258,-0.0088,-1.9491,-0.267,0.314
-1.8258,-0.0088,-1.9491,-0.267,0.314
-1.8522,-0.207,-1.9491,-0.267,0.114
-1.8522,-0.207,-1.9491,-0.267,0.114
-1.9491,-0.267,-1.9491,-0.267,0.0
2.8571,0.649,2.6907,0.5381,0.2
2.8571,0.649,2.4907,0.5344,0.4
2.8571,0.649,2.37,0.375,0.6
2.8571,0.649,2.4173,0.1807,0.8
2.8571,0.649,2.2289,0.1137,1.0
2.8571,0.649,2.0467,0.031,1.2
2.8571,0.649,1.8467,0.0319,1.4
2.8571,0.649,1.678,-0.0755,1.6
2.8571,0.649,1.5062,0.0268,1.8
2.8571,0.649,1.3383,-0.0818,2.0
2.8571,0.649,1.1776,-0.2009,2.2
2.8571,0.649,1.0271,-0.0691,2.4
2.8571,0.649,0.8423,0.0074,2.6
2.8571,0.649,0.6658,-0.0867,2.8
2.8571,0.649,0.5171,-0.2205,3.0
2.8571,0.649,0.3345,-0.302,3.2
2.8571,0.649,0.3686,-0.499,3.4
2.8571,0.649,0.2161,-0.6284,3.6
2.8571,0.649,0.0635,-0.7577,3.8
2.8571,0.649,-0.0995,-0.8735,4.0
2.8571,0.649,-0.2923,-0.9269,4.2
2.8571,0.649,-0.4402,-1.0615,4.4
2.8571,0.649,-0.5882,-1.1961,4.6
2.8571,0.649,-0.7361,-1.3307,4.8
2.8571,0.649,-0.8842,-1.1962,5.0
2.8571,0.649,-0.9969,-1.3614,5.2
2.8571,0.649,-1.1213,-1.5181,5.4
2.8571,0.649,-1.2604,-1.6618,5.6
2.8571,0.649,-1.2478,-1.8614,5.8
2.8571,0.649,-1.4135,-1.9733,6.0
2.8571,0.649,-1.6135,-1.972,6.2
2.8571,0.649,-1.7244,-2.1385,6.4
2.8571,0.649,-1.8788,-2.2655,6.6
2.8571,0.649,-2.0137,-2.4132,6.8
2.8571,0.649,-2.2022,-2.3464,7.0
2.8571,0.649,-2.2839,-2.529,7.2
2.8571,0.649,-2.3655,-2.7115,7.4
2.8571,0.649,-2.4418,-2.8821,7.5869
2.8571,0.649,-2.4418,-2.8821,7.5869
2.6907,0.5381,2.4907,0.5344,0.2
2.6907,0.5381,2.37,0.375,0.4
2.6907,0.5381,2.4173,0.1807,0.6
2.6907,0.5381,2.2289,0.1137,0.8
2.6907,0.5381,2.0467,0.031,1.0
2.6907,0.5381,1.8467,0.0319,1.2
2.6907,0.5381,1.678,-0.0755,1.4
2.6907,0.5381,1.5062,0.0268,1.6
2.6907,0.5381,1.3383,-0.0818,1.8
2.6907,0.5381,1.1776,-0.2009,2.0
2.6907,0.5381,1.0271,-0.0691,2.2
2.6907,0.5381,0.8423,0.0074,2.4
2.6907,0.5381,0.6658,-0.0867,2.6
2.6907,0.5381,0.5171,-0.2205,2.8
2.6907,0.5381,0.3345,-0.302,3.0
2.6907,0.5381,0.3686,-0.499,3.2
2.6907,0.5381,0.2161,-0.6284,3.4
2.6907,0.5381,0.0635,-0.7577,3.6
2.6907,0.5381,-0.0995,-0.8735,3.8
2.6907,0.5381,-0.2923,-0.9269,4.0
2.6907,0.5381,-0.4402,-1.0615,4.2
2.6907,0.5381,-0.5882,-1.1961,4.4
2.6907,0.5381,-0.7361,-1.3307,4.6
2.6907,0.5381,-0.8842,-1.1962,4.8
2.6907,0.5381,-0.9969,-1.3614,5.0
2.6907,0.5381,-1.1213,-1.5181,5.2
2.6907,0.5381,-1.2604,-1.6618,5.4
2.6907,0.5381,-1.2478,-1.8614,5.6
2.6907,0.5381,-1.4135,-1.9733,5.8
