start_x,start_y,goal_x,goal_y,path_length
1.5315,0.1243,0.1749,0.5173,1.4163
1.5315,0.1243,1.1048,0.2585,0.4473
1.1048,0.2585,0.1749,0.5173,0.969
1.5315,0.1243,0.98,0.3005,0.579
0.98,0.3005,0.1749,0.5173,0.8373
1.5315,0.1243,0.5375,0.4593,1.0491
0.5375,0.4593,0.1749,0.5173,0.3672
1.5315,0.1243,0.1749,0.5173,1.4163
-1.9406,1.1761,-1.1769,-0.0617,1.4547
-1.9406,1.1761,-1.7414,0.8493,0.3827
-1.7414,0.8493,-1.1769,-0.0617,1.0721
-1.9406,1.1761,-1.618,0.6372,0.6281
-1.618,0.6372,-1.1769,-0.0617,0.8266
-1.9406,1.1761,-1.4312,0.3252,0.9918
-1.4312,0.3252,-1.1769,-0.0617,0.463
-1.9406,1.1761,-1.1769,-0.0617,1.4547
1.7728,0.7534,-0.08,-0.4937,2.3366
1.7728,0.7534,1.4652,0.4593,0.4255
1.4652,0.4593,-0.08,-0.4937,1.9111
1.7728,0.7534,1.3899,0.3838,0.5322
1.3899,0.3838,-0.08,-0.4937,1.8045
1.7728,0.7534,1.1238,0.1261,0.9026
1.1238,0.1261,-0.08,-0.4937,1.4341
1.7728,0.7534,0.879,-0.0955,1.2328
0.879,-0.0955,-0.08,-0.4937,1.1038
1.7728,0.7534,0.7923,-0.1793,1.3534
0.7923,-0.1793,-0.08,-0.4937,0.9833
1.7728,0.7534,0.4797,-0.4524,1.7685
0.4797,-0.4524,-0.08,-0.4937,0.5681
1.7728,0.7534,0.4344,-0.4806,1.8218
0.4344,-0.4806,-0.08,-0.4937,0.5148
1.7728,0.7534,0.2273,-0.4929,2.0293
0.2273,-0.4929,-0.08,-0.4937,0.3073
1.7728,0.7534,-0.08,-0.4937,2.3366
-1.3207,0.5052,0.5746,0.903,1.9421
-1.3207,0.5052,-0.9165,0.5515,0.4069
-0.9165,0.5515,0.5746,0.903,1.5352
-1.3207,0.5052,-0.5901,0.5871,0.7353
-0.5901,0.5871,0.5746,0.903,1.2068
