start_x,start_y,goal_x,goal_y,path_length
-1.4725,0.7416,-1.0978,1.4452,1.0114
-1.4725,0.7416,-1.4447,1.203,0.4622
-1.4447,1.203,-1.0978,1.4452,0.5493
-1.4725,0.7416,-1.4286,1.42,0.6797
-1.4286,1.42,-1.0978,1.4452,0.3317
-1.4725,0.7416,-1.0978,1.4452,1.0114
0.4932,-0.1176,-1.2875,1.4914,2.6007
0.4932,-0.1176,0.3839,0.0984,0.2421
0.3839,0.0984,-1.2875,1.4914,2.3586
0.4932,-0.1176,0.315,0.3128,0.4673
0.315,0.3128,-1.2875,1.4914,2.1334
0.4932,-0.1176,0.261,0.4059,0.5749
0.261,0.4059,-1.2875,1.4914,2.0258
0.4932,-0.1176,0.0807,0.6304,0.8629
0.0807,0.6304,-1.2875,1.4914,1.7378
0.4932,-0.1176,-0.0845,0.8276,1.1201
-0.0845,0.8276,-1.2875,1.4914,1.4805
0.4932,-0.1176,-0.2726,1.0431,1.4061
-0.2726,1.0431,-1.2875,1.4914,1.1946
0.4932,-0.1176,-0.5813,1.4164,1.8905
-0.5813,1.4164,-1.2875,1.4914,0.7102
0.4932,-0.1176,-0.8756,1.4488,2.1866
-0.8756,1.4488,-1.2875,1.4914,0.4141
0.4932,-0.1176,-1.2875,1.4914,2.6007
-1.9383,-0.1004,-1.9223,0.6846,0.7851
-1.9383,-0.1004,-1.9306,0.201,0.3015
-1.9306,0.201,-1.9223,0.6846,0.4836
-1.9383,-0.1004,-1.9223,0.6846,0.7851
0.2808,0.9084,1.9465,0.3569,1.7938
0.2808,0.9084,0.5315,0.6932,0.3305
0.5315,0.6932,1.9465,0.3569,1.4634
0.2808,0.9084,0.7504,0.5797,0.5771
0.7504,0.5797,1.9465,0.3569,1.2168
0.2808,0.9084,0.9595,0.5357,0.7907
0.9595,0.5357,1.9465,0.3569,1.0031
0.2808,0.9084,1.2221,0.4872,1.0578
1.2221,0.4872,1.9465,0.3569,0.7361
0.2808,0.9084,1.4297,0.4544,1.2679
1.4297,0.4544,1.9465,0.3569,0.5259
0.2808,0.9084,1.6916,0.4077,1.534
1.6916,0.4077,1.9465,0.3569,0.2599
0.2808,0.9084,1.9465,0.3569,1.7938
1.464,-0.4176,-1.7311,0.9077,3.5826
1.464,-0.4176,1.0672,-0.1477,0.48
1.0672,-0.1477,-1.7311,0.9077,3.1026
1.464,-0.4176,0.6519,0.1039,0.9655
0.6519,0.1039,-1.7311,0.9077,2.6171
1.464,-0.4176,0.3161,0.3158,1.3626
0.3161,0.3158,-1.7311,0.9077,2.2201
1.464,-0.4176,-0.0779,0.3829,1.7622
-0.0779,0.3829,-1.7311,0.9077,1.8204
1.464,-0.4176,-0.1472,0.3862,1.8317
-0.1472,0.3862,-1.7311,0.9077,1.751
