start_x,start_y,goal_x,goal_y,path_length
0.3141,0.4885,-0.007,1.7231,1.2757
0.3141,0.4885,0.1999,0.9011,0.4281
0.1999,0.9011,-0.007,1.7231,0.8477
0.3141,0.4885,0.0955,1.331,0.8704
0.0955,1.331,-0.007,1.7231,0.4053
0.3141,0.4885,-0.007,1.7231,1.2757
1.3103,1.0004,0.2765,0.9666,1.2581
1.3103,1.0004,1.0407,0.7167,0.3914
1.0407,0.7167,0.2765,0.9666,0.8667
1.3103,1.0004,0.9142,0.7118,0.518
0.9142,0.7118,0.2765,0.9666,0.7401
1.3103,1.0004,0.589,0.6944,0.8437
0.589,0.6944,0.2765,0.9666,0.4144
1.3103,1.0004,0.5235,0.7496,0.9294
0.5235,0.7496,0.2765,0.9666,0.3287
1.3103,1.0004,0.2765,0.9666,1.2581
